year,month,month_name,avg_temperature,total_precipitation,days_counted
2023,1,January,19.44,106.5,31
2023,2,February,20.5,56.7,28
2023,3,March,20.06,229.4,31
2023,4,April,20.51,150.2,30
2023,5,May,21.33,203.9,31
2023,6,June,21.08,53.7,30
2023,7,July,21.38,58.0,31
2023,8,August,21.85,89.9,31
2023,9,September,22.33,62.5,30
2023,10,October,20.94,228.4,31
2023,11,November,21.0,196.5,30
2023,12,December,21.46,83.5,31
2024,1,January,21.88,29.3,31
2024,2,February,22.14,86.5,29
2024,3,March,22.95,61.0,31
2024,4,April,22.11,199.3,30
2024,5,May,21.91,291.2,31
2024,6,June,21.2,262.3,30
2024,7,July,21.14,82.6,31
2024,8,August,21.42,125.6,31
2024,9,September,22.25,111.5,30
2024,10,October,21.34,201.2,31
2024,11,November,20.52,310.8,30
2024,12,December,21.23,111.5,31
